failure_signal,exit_code,restart_count,recovery_time_sec,packet_loss_percent,avg_rtt_ms,resilience_status,nf_name_SMF,failure_type_NONE,failure_type_SIGINT,failure_type_SIGKILL,failure_type_SIGQUIT,failure_type_SIGTERM,failure_injected_No,failure_injected_Yes,restart_policy_always,pre_failure_status_running,post_failure_status_running,connectivity_status_PASS
15,143,16,0.479,0,20.24,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,17,0.431,0,145.107,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,18,0.556,0,27.133,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,19,0.482,0,18.581,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,20,0.5,0,92.682,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,21,0.629,0,15.481,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,22,0.44,0,16.122,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,23,0.56,0,26.253,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,24,0.469,0,11.265,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,25,0.525,0,21.503,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,26,0.488,0,10.024,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,27,0.515,0,9.675,1,1,0,0,0,0,1,0,1,1,1,1,1
15,143,28,0.573,0,40.839,1,1,0,0,0,0,1,0,1,1,1,1,1
9,137,28,0.116,0,29.909,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.096,0,12.472,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.11,0,21.958,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.1,0,33.163,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.101,0,14.999,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.097,0,23.662,1,1,0,0,1,0,0,0,1,1,1,1,1
9,137,28,0.12,0,27.471,1,1,0,0,1,0,0,0,1,1,1,1,1
2,130,29,0.576,0,15.615,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,30,0.52,0,13.933,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,31,0.531,0,23.341,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,32,0.457,0,43.366,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,33,0.482,0,113.807,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,34,0.57,0,31.259,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,35,0.489,0,23.913,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,36,0.502,0,51.004,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,37,0.584,0,21.651,1,1,0,1,0,0,0,0,1,1,1,1,1
2,130,38,0.51,0,37.984,1,1,0,1,0,0,0,0,1,1,1,1,1
3,131,38,0.098,0,20.445,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.102,0,68.662,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.098,0,75.575,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.11,0,32.558,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.094,0,28.921,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.104,0,26.386,1,1,0,0,0,1,0,0,1,1,1,1,1
3,131,38,0.11,0,12.471,1,1,0,0,0,1,0,0,1,1,1,1,1
